epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,3.5849234384817406,0.1022897897897898,3.5557071418017596,0.10773273273273273,656.1844370365143
2,3.357761697368221,0.13701201201201202,3.3311016201614976,0.15465465465465467,1385.7864196300507
3,3.2131985923549435,0.16600975975975976,3.037289425417468,0.1996996996996997,305.70292949676514
4,2.9243172024105406,0.20608108108108109,2.7996660123716244,0.24662162162162163,177.57178473472595
5,2.9125398078838267,0.21199324324324326,2.8443665368420943,0.24812312312312312,152.51719737052917
6,2.9241524530244662,0.2112424924924925,2.6253511289934495,0.29016516516516516,156.91363096237183
7,2.6141082495898456,0.2728978978978979,2.3839515007293977,0.3367117117117117,149.80497646331787
8,2.4562571327965537,0.31409534534534533,2.3342986135511428,0.3644894894894895,148.2477159500122
9,2.403261094837933,0.32657657657657657,2.3118239816602646,0.3611111111111111,160.06425642967224
10,2.260646244427105,0.35857732732732733,2.1815979602458597,0.38213213213213215,155.0796778202057
